owner,repo,maintenance,contribution,popularity,code_quality,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contributor_participation,code_contribution,contributor_growth,stars_and_watches,forks,project_maturity,downstream_dependents,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity
ElemeFE,element,4.17625,1.0799999999999998,1.7062499999999998,1.6872222222222224,6.6933333333333325,4.989999999999999,1.9566666666666668,3.065,2.81,0.13,0.3,2.46,1.87,2.495,,3.676666666666667,0.15,1.235,1.8033333333333332
Level,level,3.1597916666666666,0.7805555555555554,0.91,2.8433333333333333,2.0066666666666664,4.6825,2.86,3.09,2.2966666666666664,0.005,0.04,0.07,0.02,3.5,0.05,6.68,0.02,1.83,0.2901851851851851
gruntjs,grunt-contrib-uglify,1.5254166666666669,0.7599999999999999,1.00125,2.888888888888889,,,1.8266666666666669,4.275,2.28,,,0.07,0.05,3.685,0.2,6.406666666666666,,2.26,0.2933333333333333
rollup,rollup-plugin-commonjs,1.0670833333333334,0.7599999999999999,0.6825,2.09,,,1.4433333333333334,2.825,2.28,,,0.02,0.02,2.62,0.07,5.31,,0.96,0.2666666666666666
robrich,gulp-if,1.2545833333333334,0.7599999999999999,0.8324999999999999,2.523888888888889,,,1.5333333333333334,3.4850000000000003,2.28,,,0.03,,3.23,0.07,6.686666666666667,,0.885,
grpc,grpc-node,4.8568750000000005,1.1505555555555556,0.6449999999999999,2.583888888888889,8.606666666666667,5.1575,3.233333333333333,2.43,2.4466666666666668,0.435,0.57,0.19,0.08,2.31,,6.626666666666668,0.29,0.8350000000000001,0.4735185185185185
aheckmann,gm,1.4566666666666668,0.7033333333333333,1.215,2.6116666666666664,,,1.5166666666666666,4.3100000000000005,2.11,,,0.31,0.08,4.46,0.01,6.669999999999999,,1.165,0.3644444444444444
DiegoRBaquero,node-os,0.8945833333333333,0.7022222222222223,0.61875,2.397777777777778,,,1.0133333333333334,2.565,2.106666666666667,,,,,2.455,0.02,6.673333333333333,,0.52,
helloIAmPau,node-spinner,0.9020833333333332,0.7022222222222223,0.8262499999999999,2.953333333333333,,,1.5333333333333334,2.075,2.106666666666667,,,0.01,,3.285,0.01,6.669999999999999,,2.19,
Level,leveldown,2.5341666666666667,0.7022222222222223,0.93125,2.522222222222222,,4.98,2.066666666666667,3.09,2.106666666666667,,,0.03,0.02,3.645,0.03,6.666666666666667,,0.8999999999999999,0.2507407407407407
lazd,gulp-replace,1.3029166666666667,0.7022222222222223,0.8412499999999999,2.565555555555556,,,1.7166666666666668,3.495,2.106666666666667,,,0.02,0.01,3.275,0.06,6.546666666666667,,1.15,0.2440740740740741
karma-runner,karma-mocha,1.4483333333333333,0.7022222222222223,0.90375,2.213888888888889,,,1.7733333333333334,4.02,2.106666666666667,,,0.02,0.01,3.525,0.06,4.916666666666667,,1.725,0.2440740740740741
sindresorhus,deep-assign,2.639583333333333,0.7022222222222223,0.6987499999999999,2.566666666666667,,,2.553333333333333,8.004999999999999,2.106666666666667,,,0.01,,2.655,0.13,6.710000000000001,,0.99,
Semantic-Org,Semantic-UI-React,4.72625,0.8633333333333333,0.9825,1.0083333333333335,7.826666666666667,4.9750000000000005,2.3833333333333333,3.72,2.38,0.04,0.17,0.6,0.51,2.76,0.06,2.01,0.09,0.925,0.6577777777777778
reactjs,react-router-redux,0.94625,0.7599999999999999,0.76625,1.910555555555556,,,1.42,2.365,2.28,,,0.36,0.08,2.625,,3.796666666666667,,1.935,0.3999999999999999
koajs,koa-body,2.883125,0.7611111111111111,0.825,2.4144444444444444,,4.2725,3.27,3.99,2.283333333333333,,,0.04,0.02,3.21,0.03,5.363333333333333,,1.88,0.2737037037037037
bahamas10,node-clear,1.4349999999999998,0.7599999999999999,0.94,2.397777777777778,,,0.96,4.779999999999999,2.28,,,0.01,,3.73,0.02,6.673333333333333,,0.52,
babel,gulp-babel,1.2354166666666666,0.7599999999999999,0.7875,2.7694444444444444,,,1.9566666666666668,2.985,2.28,,,0.06,0.02,2.99,0.08,5.963333333333334,,2.345,0.2799999999999999
Trott,slug,5.2162500000000005,0.7716666666666666,0.40125,2.6216666666666666,8.9,4.9,2.7000000000000006,4.365,2.15,0.075,0.09,0.01,,1.585,0.01,6.55,0.06,1.255,
elastic,elasticsearch-js-legacy,1.6479166666666667,0.7022222222222223,0.36375,2.5561111111111114,,,1.6666666666666667,4.925,2.106666666666667,,,,,1.455,,6.603333333333334,,1.065,
enricomarino,is,1.5758333333333334,0.7022222222222223,1.02,2.509444444444444,,,1.903333333333333,4.4,2.106666666666667,,,0.01,,3.98,0.09,6.6933333333333325,,0.835,
jgthms,bulma,4.104583333333333,0.8550000000000001,1.3275,2.161666666666666,6.88,4.065,2.683333333333333,2.79,2.27,0.075,0.22,2.19,0.5,2.55,0.07,5.72,0.115,0.65,1.1816666666666666
koajs,mount,1.675,0.7022222222222223,0.8512500000000001,2.638333333333333,,,2.7100000000000004,3.99,2.106666666666667,,,0.03,0.01,3.365,,6.66,,1.255,0.2474074074074074
gruntjs,grunt-contrib-concat,2.1104166666666666,0.7200000000000001,0.96625,2.6694444444444447,,2.34,1.8266666666666669,4.275,2.12,,0.04,0.04,0.02,3.665,0.14,6.423333333333335,0.02,1.565,0.26
aseemk,requireDir,1.49625,0.7022222222222223,0.9475,2.4988888888888887,,,1.5599999999999998,4.425,2.106666666666667,,,0.02,0.01,3.76,,6.656666666666666,,0.84,0.2440740740740741
yeoman,yosay,1.4545833333333331,0.7022222222222223,0.78875,2.606666666666666,,,1.7733333333333334,4.045,2.106666666666667,,,0.01,0.01,3.125,0.01,6.669999999999999,,1.15,0.2407407407407407
felixge,node-require-all,1.56625,0.7022222222222223,0.9925,2.6566666666666663,,,1.5599999999999998,4.705,2.106666666666667,,,0.01,0.01,3.94,0.01,6.669999999999999,,1.3,0.2407407407407407
sindresorhus,gulp-autoprefixer,5.254583333333333,0.7033333333333333,0.8125,2.6444444444444444,9.993333333333334,,3.02,8.004999999999999,2.11,,,0.03,0.01,3.01,0.2,6.733333333333333,,1.2,0.2477777777777777
hokaccha,node-jwt-simple,1.4020833333333331,0.7022222222222223,1.00125,2.6027777777777774,,,1.5333333333333334,4.075,2.106666666666667,,,0.06,0.02,3.905,0.02,6.1933333333333325,,1.615,0.2607407407407408
scniro,gulp-clean-css,1.70125,0.7033333333333333,0.68,2.4633333333333334,,2.5,1.5599999999999998,2.745,2.11,,,0.03,0.01,2.54,0.14,6.710000000000001,,0.68,0.2477777777777777
floatdrop,gulp-plumber,1.60625,0.7022222222222223,0.85125,2.5283333333333333,,,1.5599999999999998,4.865,2.106666666666667,,,0.04,,3.235,0.13,6.7,,0.885,
restify,node-restify,4.449583333333333,0.726111111111111,1.19875,2.6711111111111108,6.146666666666666,4.0,4.166666666666667,3.485,2.1333333333333333,0.005,0.04,0.49,0.13,4.175,,6.613333333333333,0.02,1.38,0.4487037037037036
apollographql,react-apollo,1.4795833333333333,0.7022222222222223,0.7462500000000001,2.2244444444444444,,,3.863333333333333,2.055,2.106666666666667,,,0.31,0.1,2.555,0.02,5.703333333333333,,0.97,0.3707407407407408
postcss,gulp-postcss,4.867708333333334,0.7038888888888889,0.7974999999999999,2.955555555555556,9.686666666666667,5.0025,1.4966666666666668,3.285,2.106666666666667,0.005,,0.04,0.01,3.07,0.07,6.676666666666667,,2.19,0.2512962962962963
OverZealous,run-sequence,1.1833333333333331,0.7022222222222223,0.8362499999999999,2.365,,,1.5333333333333334,3.2,2.106666666666667,,,0.04,0.01,3.225,0.07,6.260000000000001,,0.835,0.2507407407407407
koajs,logger,1.7625,0.7022222222222223,0.8512500000000001,2.983333333333333,,,3.06,3.99,2.106666666666667,,,0.03,0.01,3.365,,6.66,,2.29,0.2474074074074074
jaredhanson,passport-oauth,2.365833333333333,0.7022222222222223,1.0087499999999998,2.4294444444444445,,2.5,1.5333333333333334,5.43,2.106666666666667,,,0.01,0.01,4.005,0.01,6.663333333333334,,0.625,0.2407407407407407
hughsk,vinyl-source-stream,1.860833333333333,0.7022222222222223,0.8225,2.643333333333333,,,1.5333333333333334,5.91,2.106666666666667,,,0.02,,3.23,0.04,6.68,,1.25,
MoOx,postcss-cssnext,1.5208333333333337,0.7022222222222223,0.85125,1.4211111111111112,,,2.853333333333333,3.23,2.106666666666667,,,0.24,0.03,3.085,0.05,3.4633333333333334,,0.8,0.3240740740740741
ivogabe,gulp-typescript,1.035,0.7022222222222223,0.8200000000000001,2.36,,,1.4,2.74,2.106666666666667,,,0.04,0.02,3.2,0.02,6.29,,0.79,0.2540740740740741
sindresorhus,gulp-filter,5.772916666666667,0.7227777777777779,0.8199999999999998,2.7355555555555555,9.993333333333334,2.49,2.603333333333333,8.004999999999999,2.123333333333333,0.005,0.04,0.01,,3.24,0.03,6.676666666666667,0.02,1.51,
adametry,gulp-eslint,1.1970833333333333,0.7022222222222223,0.835,2.473333333333333,,,1.8233333333333333,2.965,2.106666666666667,,,0.03,0.02,3.24,0.05,5.75,,1.67,0.2507407407407407
sindresorhus,gulp-imagemin,2.86625,0.7022222222222223,0.87,2.8605555555555555,0.4166666666666667,,3.043333333333333,8.004999999999999,2.106666666666667,,,0.09,0.02,3.25,0.12,6.706666666666666,,1.875,0.2707407407407408
hughsk,vinyl-buffer,1.8541666666666667,0.7022222222222223,0.8049999999999999,2.538888888888889,,,1.5066666666666668,5.91,2.106666666666667,,,,,3.19,0.03,6.676666666666667,,0.94,
jaredhanson,connect-flash,1.7541666666666669,0.7022222222222223,1.00625,2.420555555555556,,,1.586666666666667,5.43,2.106666666666667,,,0.06,0.02,3.855,0.09,6.686666666666667,,0.575,0.2607407407407408
palantir,tslint-react,1.1754166666666668,0.7022222222222223,0.6225,2.497777777777778,,,1.366666666666667,3.335,2.106666666666667,,,0.03,0.01,2.43,0.02,6.543333333333333,,0.95,0.2474074074074074
karma-runner,karma-phantomjs-launcher,1.4416666666666669,0.7022222222222223,0.91125,2.3183333333333334,,,1.7466666666666668,4.02,2.106666666666667,,,0.01,0.02,3.525,0.09,5.34,,1.615,0.2440740740740741
s-panferov,awesome-typescript-loader,1.605,0.7022222222222223,0.7549999999999999,2.0916666666666663,,,3.2099999999999995,3.21,2.106666666666667,,,0.11,0.02,2.86,0.03,5.489999999999999,,0.785,0.2774074074074074
gruntjs,grunt-contrib-jshint,2.081666666666667,0.7455555555555554,0.98,3.066111111111111,,2.225,1.8266666666666669,4.275,2.1366666666666667,0.01,0.09,0.03,0.03,3.68,0.18,6.333333333333333,0.045,2.82,0.2685185185185185
clessg,progress-bar-webpack-plugin,1.1708333333333334,0.7022222222222223,0.6675,2.7966666666666664,,,1.5333333333333334,3.15,2.106666666666667,,,0.02,0.01,2.62,0.02,6.669999999999999,,1.72,0.2440740740740741
gulp-community,gulp-less,1.1825,0.7022222222222223,0.8787499999999999,2.8894444444444445,,,1.07,3.66,2.106666666666667,,,0.03,0.01,3.415,0.06,6.683333333333334,,1.985,0.2474074074074074
jackfranklin,gulp-load-plugins,2.1825,0.7022222222222223,0.84,2.9472222222222224,,,4.13,4.6,2.106666666666667,,,0.03,0.01,3.27,0.05,6.596666666666667,,2.245,0.2474074074074074
floatdrop,gulp-watch,2.45875,0.7033333333333333,0.83,2.348333333333333,3.333333333333333,,1.6366666666666667,4.865,2.11,,,0.03,0.01,3.23,0.05,6.0,,1.045,0.2477777777777777
buglabs,node-xml2json,1.4162500000000002,0.7022222222222223,1.0425,2.561666666666667,,,1.02,4.6450000000000005,2.106666666666667,,,0.04,0.03,4.1,,6.2700000000000005,,1.415,0.2574074074074075
jdesboeufs,connect-mongo,4.4,0.7244444444444444,1.09875,1.977222222222222,7.32,4.44,3.08,2.76,2.1333333333333333,,0.04,0.09,0.04,4.205,0.06,4.3966666666666665,0.02,1.515,0.2848148148148148
loganfsmyth,babel-plugin-transform-decorators-legacy,1.1825,0.7022222222222223,0.6699999999999999,2.4433333333333334,,,1.5599999999999998,3.1700000000000004,2.106666666666667,,,0.04,0.01,2.58,0.05,6.55,,0.78,0.2507407407407407
maritz,node-sprintf,1.1029166666666668,0.7022222222222223,1.0825,2.64,,,1.0666666666666669,3.345,2.106666666666667,,,,,4.32,0.01,6.669999999999999,,1.25,
ryanmcgrath,wrench-js,1.1170833333333334,0.7022222222222223,1.15,2.744444444444444,,,1.4533333333333334,3.015,2.106666666666667,,,0.02,0.01,4.55,0.02,6.673333333333333,,1.56,0.2440740740740741
pull-stream,pull-stream,1.3479166666666669,0.7022222222222223,0.8987499999999999,2.5083333333333333,,,1.8166666666666669,3.575,2.106666666666667,,,0.04,0.01,3.505,0.04,6.68,,0.845,0.2507407407407407
mikaelbr,gulp-notify,1.4291666666666667,0.7022222222222223,0.83,2.5111111111111115,,,1.8766666666666667,3.84,2.106666666666667,,,0.03,,3.23,0.06,6.543333333333334,,0.99,
evilstreak,markdown-js,1.1925,0.7022222222222223,1.27125,2.436111111111112,,,1.41,3.36,2.106666666666667,,,0.35,0.11,4.625,,6.663333333333334,,0.645,0.3874074074074075
Polymer,polymer,4.279791666666666,0.7116666666666666,1.27625,2.3516666666666666,7.263333333333333,3.3725,3.513333333333333,2.97,2.11,0.025,,1.0,0.26,3.845,,5.489999999999999,,1.565,0.6572222222222222
jprichardson,string.js,1.8733333333333333,0.7022222222222223,1.01875,2.6527777777777777,,,2.8633333333333333,4.63,2.106666666666667,,,0.08,0.03,3.965,,6.653333333333333,,1.305,0.2707407407407408
goldhand,sw-precache-webpack-plugin,1.247083333333333,0.7022222222222223,0.665,1.8633333333333333,,,1.7433333333333334,3.245,2.106666666666667,,,0.07,0.01,2.41,0.17,4.55,,1.04,0.2607407407407408
spalger,gulp-jshint,1.1579166666666665,0.7022222222222223,0.86625,2.6166666666666667,,,1.7166666666666668,2.915,2.106666666666667,,,0.02,0.01,3.375,0.06,6.18,,1.67,0.2440740740740741
nuysoft,Mock,1.99625,0.7033333333333333,1.1775,2.406111111111111,3.036666666666666,,1.5333333333333334,3.415,2.11,,,0.88,0.34,3.49,,6.6433333333333335,,0.575,0.6411111111111111
stylus,nib,0.98625,0.7022222222222223,1.09375,2.713333333333333,,,1.42,2.525,2.106666666666667,,,0.09,0.03,4.215,0.04,6.609999999999999,,1.53,0.2740740740740741
sun-zheng-an,gulp-shell,1.32375,0.7022222222222223,0.8174999999999999,2.2805555555555554,,,1.5599999999999998,3.735,2.106666666666667,,,0.02,0.01,3.21,0.03,5.696666666666666,,1.145,0.2440740740740741
caolan,highland,1.5983333333333336,0.7022222222222223,0.97125,2.783333333333333,,,2.0333333333333337,4.36,2.106666666666667,,,0.16,0.02,3.705,,5.32,,3.03,0.2940740740740741
ftlabs,fastclick,1.1854166666666668,0.7022222222222223,1.29625,2.61,,,1.5766666666666669,3.165,2.106666666666667,,,0.85,0.41,3.885,0.04,6.68,,1.15,0.6540740740740741
jamestalmage,cli-table2,1.5725,0.7022222222222223,0.7324999999999999,2.446111111111111,,,1.6900000000000002,4.6,2.106666666666667,,,0.01,,2.91,0.01,6.663333333333334,,0.675,
serialport,node-serialport,4.667291666666666,0.8561111111111112,1.22375,2.4294444444444445,6.946666666666666,4.9175,4.819999999999999,1.985,2.2133333333333334,0.265,0.09,0.26,0.13,4.495,0.01,6.263333333333333,0.0849999999999999,0.94,0.4153703703703703
nathanpeck,clui,1.08,0.7022222222222223,0.8124999999999999,2.500555555555556,,,1.4,2.9200000000000004,2.106666666666667,,,0.08,0.01,3.15,0.01,6.666666666666667,,0.835,0.264074074074074
hapijs,hapi,4.305416666666667,0.7805555555555556,1.2325,2.865,7.3,3.895,2.606666666666667,3.42,2.186666666666667,0.025,0.13,0.66,0.17,4.08,0.02,6.669999999999999,0.065,1.86,0.5368518518518518
baryon,tracer,1.3633333333333333,0.7022222222222223,0.98625,2.588888888888889,,,2.733333333333333,2.72,2.106666666666667,,,0.05,0.02,3.875,,6.456666666666666,,1.31,0.2574074074074075
louischatriot,nedb,1.8645833333333333,0.7033333333333333,1.055,2.5294444444444446,2.216666666666667,,1.9566666666666668,3.285,2.11,,,0.61,0.13,3.47,0.01,6.6433333333333335,,0.945,0.4811111111111111
Timer,fork-ts-checker-webpack-plugin,0.7758333333333334,0.7022222222222223,0.4125,2.518333333333333,,,0.3433333333333333,2.76,2.106666666666667,,,,,1.59,0.06,5.710000000000001,,1.845,
nodegit,nodegit,2.89125,0.726111111111111,1.1675,2.692222222222222,3.69,2.495,2.12,3.26,2.1333333333333333,0.005,0.04,0.25,0.09,4.33,,6.446666666666666,0.02,1.61,0.3553703703703703
pouchdb,pouchdb,4.445,1.015,1.37,2.8094444444444444,7.076666666666667,4.92,2.1633333333333336,3.62,2.28,0.415,0.35,0.74,0.19,4.54,0.01,6.623333333333332,0.215,1.59,0.6483333333333333
sindresorhus,unique-random-array,2.6329166666666666,0.7022222222222223,0.7224999999999999,2.5172222222222222,,,2.526666666666667,8.004999999999999,2.106666666666667,,,,,2.88,0.01,6.666666666666667,,0.885,
jupyterlab,jupyterlab,4.161041666666666,2.59,0.9075,4.666111111111111,8.1,3.0975,3.366666666666666,2.08,3.62,1.45,2.7,0.62,0.38,2.63,,5.4433333333333325,4.49,4.065,1.1966666666666663
dthree,vorpal,0.8808333333333334,0.7022222222222223,0.7437499999999999,2.906111111111111,,,1.663333333333333,1.86,2.106666666666667,,,0.26,0.04,2.675,,6.573333333333333,,2.145,0.3340740740740741
hapijs,inert,2.11625,0.7022222222222223,0.7525,2.710555555555556,,2.465,2.58,3.42,2.106666666666667,,,0.01,0.01,2.98,0.01,6.666666666666667,,1.465,0.2407407407407407
EvanOxfeld,node-unzip,1.33875,0.7022222222222223,0.9475,2.5300000000000007,,,1.5599999999999998,3.795,2.106666666666667,,,0.03,0.04,3.72,,6.650000000000001,,0.94,0.2574074074074075
cloudhead,node-static,1.47,0.7022222222222223,1.14125,2.747222222222222,,,1.93,3.95,2.106666666666667,,,0.1,0.03,4.415,0.02,6.516666666666666,,1.725,0.2774074074074074
danwrong,restler,1.7208333333333332,0.7022222222222223,1.1962499999999998,3.0044444444444447,,,1.7433333333333334,5.14,2.106666666666667,,,0.09,0.05,4.645,,6.663333333333334,,2.35,0.2807407407407408
alibaba,BizCharts,3.0400000000000005,0.7177777777777777,0.5775,2.48,6.830000000000001,0.005,1.55,3.775,2.143333333333333,0.01,,0.28,0.09,1.94,,6.4,,1.04,0.3625925925925926
metalsmith,metalsmith,4.554791666666667,0.7255555555555554,0.91375,2.5438888888888886,6.609999999999999,4.7775,4.3966666666666665,2.435,2.1266666666666665,0.01,0.04,0.36,0.08,3.215,,6.596666666666667,0.02,1.015,0.3885185185185185
zilverline,react-tap-event-plugin,0.9266666666666666,0.7022222222222223,0.77125,2.57,,,0.1866666666666666,3.52,2.106666666666667,,,0.05,0.01,3.015,0.01,6.669999999999999,,1.04,0.2540740740740741
slushjs,gulp-install,1.3616666666666666,0.7022222222222223,0.7949999999999999,2.6366666666666667,,,1.7366666666666666,3.71,2.106666666666667,,,,0.01,3.16,0.01,6.66,,1.25,
sindresorhus,gulp-template,2.6787499999999995,0.7022222222222223,0.81875,2.5522222222222224,,,2.7099999999999995,8.004999999999999,2.106666666666667,,,0.01,0.01,3.255,,6.666666666666667,,0.99,0.2407407407407407
shockie,node-iniparser,0.8708333333333333,0.7022222222222223,1.09,2.5522222222222224,,,1.0133333333333334,2.47,2.106666666666667,,,,,4.36,,6.666666666666667,,0.99,
redis,hiredis-node,1.09125,0.7022222222222223,1.0812499999999998,2.692222222222222,,,1.42,2.9450000000000003,2.106666666666667,,,0.01,0.01,4.305,,6.666666666666667,,1.41,0.2407407407407407
alibaba-fusion,next,4.1222916666666665,1.4394444444444443,0.6025,2.018333333333333,7.82,5.1025,1.5766666666666669,1.99,2.6733333333333333,0.605,1.04,0.21,0.07,2.13,,3.59,0.765,1.7000000000000002,0.5731481481481481
iview,iview,1.774166666666667,0.7044444444444444,1.02125,1.7205555555555556,2.64,,1.9566666666666668,2.5,2.1133333333333333,,,1.09,0.53,2.455,0.01,3.296666666666667,,1.865,0.7748148148148148
phosphorjs,phosphor,1.200416666666667,0.7022222222222223,0.725,1.81,,,1.5466666666666669,3.2550000000000003,2.106666666666667,,,0.05,0.02,2.83,,4.329999999999999,,1.1,0.2574074074074075
ipfs,js-ipfs,1.4545833333333331,0.7022222222222223,1.19625,2.6794444444444445,,,2.953333333333333,2.865,2.106666666666667,,,0.34,0.16,4.285,,6.273333333333333,0.01,1.755,0.4007407407407408
johnagan,clean-webpack-plugin,1.1425,0.7022222222222223,0.7825,2.650555555555556,,,1.5599999999999998,3.01,2.106666666666667,,,0.09,0.02,2.81,0.21,6.646666666666667,,1.305,0.2707407407407408
atomist,automation-client,1.3166666666666669,0.7022222222222223,0.535,2.348888888888889,,,2.986666666666667,2.28,2.106666666666667,,,,,2.14,,5.666666666666667,,1.38,
sindresorhus,query-string,6.44,0.7077777777777778,1.535,3.745,9.526666666666666,4.945,3.283333333333333,8.004999999999999,2.123333333333333,,,0.3,0.06,3.3400000000000003,2.44,7.479999999999999,,3.755,0.355925925925926
plone,volto,5.566041666666667,2.469444444444445,0.85625,2.741666666666667,7.696666666666666,5.6725,3.53,5.365,3.143333333333333,1.655,2.61,0.02,0.07,3.335,,3.92,2.595,1.71,0.8531481481481483
gaearon,react-hot-loader,3.2645833333333334,0.7033333333333333,1.01125,0.7944444444444446,4.983333333333333,,4.1000000000000005,3.975,2.11,,,0.56,0.1,3.245,0.14,1.0233333333333334,,1.36,0.4544444444444444
react-component,rc-tools,1.025,0.7022222222222223,0.73125,2.432777777777778,,,1.02,3.08,2.106666666666667,,,0.01,0.01,2.905,,6.293333333333334,,1.005,0.2407407407407407
darekf77,morphi,0.7527083333333333,0.7438888888888889,0.45625,1.8561111111111108,,0.0625,0.9333333333333332,2.015,2.106666666666667,0.125,,,,1.825,,4.723333333333333,0.01,0.8350000000000001,
e1-bsd,omni-common-ui,1.0166666666666668,0.7022222222222223,0.62125,1.03,,,1.4966666666666668,2.5700000000000003,2.106666666666667,,,,,2.485,,2.5,,0.59,
facebook,nuclide,1.5204166666666667,0.7022222222222223,0.85625,1.2049999999999998,,,3.1666666666666665,2.915,2.106666666666667,,,0.36,0.09,2.975,,1.1,,2.515,0.384074074074074
electrode-io,electrode,2.7452083333333333,0.7688888888888888,0.615,2.1111111111111107,,4.8725,3.6033333333333335,2.505,2.1366666666666667,0.08,0.09,0.1,0.04,2.32,,4.963333333333333,0.055,1.315,0.3029629629629629
wintercounter,mhy,0.9804166666666668,0.7055555555555556,0.47375,2.3233333333333337,,,1.7166666666666668,2.205,2.106666666666667,0.01,,0.01,,1.885,,6.390000000000001,,0.58,
dexteryy,Project-WebCube,1.3716666666666666,0.7022222222222223,0.6349999999999999,1.4977777777777777,,,1.5066666666666668,3.98,2.106666666666667,,,0.01,,2.53,,3.973333333333333,,0.52,
compute-io,compute.io,1.4670833333333333,0.7022222222222223,0.75125,2.410555555555556,,,1.4433333333333334,4.425,2.106666666666667,,,,,3.005,,6.656666666666666,,0.575,
slushjs,gulp-conflict,1.3083333333333331,0.7022222222222223,0.79,2.4788888888888887,,,1.5233333333333334,3.71,2.106666666666667,,,,,3.16,,6.656666666666666,,0.78,
sebastian-software,advanced-boilerplate,0.9179166666666668,0.7022222222222223,0.64875,1.1822222222222225,,,1.2866666666666668,2.385,2.106666666666667,,,,,2.595,,2.856666666666667,,0.6900000000000001,
embarklabs,embark,1.63875,0.7022222222222223,0.7699999999999999,1.4761111111111112,,,4.31,2.245,2.106666666666667,,,0.17,0.06,2.85,,3.043333333333333,0.015,1.37,0.3107407407407407
agneta,platform,1.13375,0.7022222222222223,0.51,1.3733333333333333,,,2.29,2.245,2.106666666666667,,,,,2.04,,3.6,,0.52,
ziruYU,nodejs,0.6229166666666667,0.7022222222222223,0.4925,2.1966666666666668,,,0.5466666666666666,1.945,2.106666666666667,,,,,1.97,,6.07,,0.52,
NetWilliam,protocol-buffers-schema,0.6804166666666666,0.7022222222222223,0.50875,2.640555555555556,,,0.1066666666666666,2.615,2.106666666666667,,,,,2.035,,6.666666666666667,,1.255,
toyako,yanglao,0.6174999999999999,0.7022222222222223,0.52,2.3944444444444444,,,0.96,1.51,2.106666666666667,,,,,2.08,,6.663333333333334,,0.52,
cnn007,node-dingtalk-robot,0.8783333333333334,0.7022222222222223,0.48875,2.3866666666666667,,,1.2233333333333334,2.29,2.106666666666667,,,,,1.955,,6.640000000000001,,0.52,
chjj,bslint,1.285,0.7022222222222223,0.38,2.39,,,1.5599999999999998,3.58,2.106666666666667,,,,,1.52,,6.65,,0.52,
aethant,merino,0.8624999999999999,0.7022222222222223,0.57,0.7166666666666667,,,0.96,2.49,2.106666666666667,,,,,2.28,,1.21,,0.94,
Anoop24031989,cordova-plugin-tsp-for-Android,0.7341666666666667,0.7022222222222223,0.49875,2.395555555555556,,,0.4666666666666666,2.47,2.106666666666667,,,,,1.995,,6.666666666666667,,0.52,
joshmatz,big-bertha,1.2095833333333332,0.7022222222222223,0.57,2.395555555555556,,,1.5333333333333334,3.305,2.106666666666667,,,,,2.28,,6.666666666666667,,0.52,
chjj,babylonia,1.2975,0.7022222222222223,0.38,2.39,,,1.61,3.58,2.106666666666667,,,,,1.52,,6.65,,0.52,
ericmcornelius,ease,1.0004166666666667,0.7022222222222223,0.6125,1.5422222222222224,,,0.4666666666666666,3.535,2.106666666666667,,,,,2.45,,4.1066666666666665,,0.52,
codemirror,CodeMirror,4.4437500000000005,0.8361111111111112,1.575,3.0594444444444444,8.533333333333333,5.005000000000001,2.716666666666667,1.52,2.2533333333333334,0.035,0.22,1.21,0.63,4.46,,6.633333333333333,0.11,2.435,0.8920370370370371
nithincvpoyyil,voice-listener,0.8395833333333333,0.7055555555555556,0.51875,2.2211111111111115,,,1.5333333333333334,1.825,2.106666666666667,0.01,,,,2.075,,6.1433333333333335,,0.52,0.11
hexlet-components,js-pairs,0.56125,0.7022222222222223,0.61125,2.417777777777778,,,0.48,1.765,2.106666666666667,,,,,2.445,,6.153333333333333,,1.1,
terryarbase,nextnode,1.0108333333333337,0.7022222222222223,0.39625,1.482222222222222,,,2.4133333333333336,1.63,2.106666666666667,,,,,1.585,,3.7566666666666655,,0.6900000000000001,
rstacruz,pnpm,5.826666666666666,2.365,1.24375,2.3177777777777777,7.609999999999999,5.44,4.6866666666666665,5.57,3.87,1.055,2.17,1.24,0.11,3.625,,4.403333333333333,1.345,1.205,1.2383333333333335
ckeditor,ckeditor5-build-inline,1.2229166666666669,0.7022222222222223,0.5075,2.8516666666666666,,,2.146666666666667,2.745,2.106666666666667,,,,0.02,2.01,,6.55,,2.005,
mehmetkose,react-websocket,1.1825,0.7022222222222223,0.6825,2.4883333333333333,,,1.5599999999999998,3.17,2.106666666666667,,,0.02,0.01,2.7,,6.109999999999999,,1.355,0.2440740740740741
stewartml,react-angular-component,0.24125,0.7022222222222223,0.43625,1.6133333333333333,,,0.96,0.005,2.106666666666667,,,,,1.745,,4.84,,,
akserg,ng2-toasty,1.4516666666666669,0.7022222222222223,0.64125,2.481666666666667,,,2.526666666666667,3.28,2.106666666666667,,,0.01,0.01,2.545,,6.5,,0.945,0.2407407407407407
primefaces,primeng,4.443124999999999,4.847222222222222,0.9625,4.133333333333334,8.186666666666666,6.1175,1.6933333333333334,1.775,6.036666666666666,2.595,5.91,0.42,0.56,2.85,0.02,6.15,3.35,2.9,1.9424074074074076
jabbla,Freemamba,0.9158333333333332,0.7599999999999999,0.49875,2.293333333333333,,,1.3033333333333337,2.36,2.28,,,,,1.995,,6.359999999999999,,0.52,
askiiRobotics,react-native-ok-sdk,0.86375,0.7599999999999999,0.50625,1.4344444444444446,,,1.61,1.845,2.28,,,,,2.025,,4.303333333333334,,,
